Date,Sales,Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Operating Profit,EBITDA,EBIT,Comp_Name
2022-12-31,4011.17,3221.35,276.16,50.0,35.4,980.58,213.65,766.93,789.82,1065.98,1015.98,Britannia Inds
2022-12-31,2009.8,1465.07,31.92,25.02,0.72,550.91,92.45,458.46,544.73,576.65,551.63,Godrej Consumer
2023-03-31,2493.8,2155.8,5.7,68.4,36.0,239.3,35.3,204.0,338.0,343.70000000000005,275.3,United Spirits
2023-03-31,1350.63,898.73,18.48,43.11,1.08,426.19,109.97,316.22,451.9,470.38,427.27,Colgate-Palmoliv
2023-03-31,1764.47,1711.02,11.63,50.65,1.22,13.21,3.48,9.73,53.45,65.08,14.430000000000001,United Breweries
2023-03-31,697.95,552.32,11.45,43.48,0.32,113.28,4.64,108.64,145.63,157.07999999999998,113.6,Emami
2023-03-31,3221.85,2549.73,18.51,135.62,56.55,498.46,125.54,372.92,672.12,690.63,555.01,Varun Beverages
2023-03-31,3894.73,3100.04,53.23,57.51,29.59,760.82,202.66,558.16,794.69,847.9200000000001,790.4100000000001,Britannia Inds
2023-03-31,1939.48,1635.72,85.11,50.21,18.72,319.94,86.91,233.03,303.76,388.86999999999995,338.65999999999997,Dabur India
2023-03-31,2177.85,1825.9,24.36,38.07,7.59,330.65,80.19,250.46,351.95,376.30999999999995,338.23999999999995,Tata Consumer
2023-03-31,1702.0,1423.0,30.0,31.0,9.0,269.0,65.0,204.0,279.0,309.0,278.0,Marico
2023-03-31,16397.98,10188.58,819.17,421.94,11.83,6594.8,1507.94,5086.86,6209.4,7028.57,6606.63,ITC
2023-03-31,1822.93,1341.51,49.67,35.48,1.05,494.56,87.05,407.51,481.42,531.09,495.61,Godrej Consumer
2023-03-31,831.84,752.91,1.37,19.92,9.01,51.37,14.11,37.26,78.93,80.3,60.379999999999995,Radico Khaitan
2023-03-31,883.09,733.82,14.44,14.58,3.57,145.56,-19.46,165.02,149.27,163.71,149.13,P & G Hygiene
2023-03-31,14893.0,11422.0,240.0,262.0,24.0,3425.0,873.0,2552.0,3471.0,3711.0,3449.0,Hind. Unilever
2023-03-31,4830.53,3735.05,33.69,101.7,37.01,990.46,253.82,736.64,1095.48,1129.17,1027.47,Nestle India
2023-06-30,15148.0,11627.0,148.0,257.0,47.0,3365.0,893.0,2472.0,3521.0,3669.0,3412.0,Hind. Unilever
2023-06-30,15828.2,9578.14,708.74,402.49,10.72,6545.59,1642.85,4902.74,6250.06,6958.8,6556.31,ITC
2023-06-30,2171.9,1786.8,3.8,65.0,4.3,319.6,81.4,238.2,385.1,388.90000000000003,323.90000000000003,United Spirits
2023-06-30,4672.29,3364.43,45.52,129.49,62.3,1161.59,293.61,867.97,1307.86,1353.3799999999999,1223.8899999999999,Varun Beverages
