Date,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Net Block,Capital Work in Progress,Investments,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:,Adjusted Equity Shares in Cr,EBITDA,EBIT,Market Cap,EV,EV/EBITDA,EV/Sales,EPS,BV,P/E,P/B,P/S,EPS/P,Operating Cashflow Per Share,Price/Cashflow,ROE,ROA,ROCE,Net Profit Margin,EBITDA Margin,Operating Margin,Interest_Cov_Rat,Debt_to_Equity,Debt_Service_Coverage,FixAsset_Turn_Rat,Acc_Rec_Rat,COGS,Inv_Turn_Rat,CFO/Sales,CFO/Total Debt,Comp_Name
2019-12-31,288.69,3578.43,3200.84,1305.6,5401.75,58.58,907.78,2005.45,130.53,672.98,32.42,288688720.0,10.0,5615.66,2744.35,132.41,220.19,192.63,631.57,734.63,19.61,98.01,387.2,281.61,634.29,185.75,448.55,72.17,1066.91,-2229.34,1193.01,30.58,157.47,129.92,1303.1,915.9,4545.9812738400005,7714.401273840001,5.920037812784899,1.373730117891753,3.4525092364532024,316.2333343596059,45.610305205662684,0.4979550948317561,0.02804122756719602,0.02192486973044518,8.212053571428573,19.175471595542263,0.1159907114338319,0.04901698301043284,0.12958477410738034,0.07987484997311091,0.2320475242447014,0.16309748097285093,3.252370299350165,0.8277064068350608,0.37419058421513585,1.0396001295876336,43.02198728261702,3024.76,4.49457636185325,0.18998835399579037,0.3333218780070232,Varun Beverages
2019-12-31,96.42,1822.45,188.94,5065.13,2341.45,143.3,1751.05,2937.14,124.33,1283.07,1308.05,96415716.0,10.0,12368.9,4520.91,144.19,340.53,1028.55,1258.17,2226.13,212.92,246.88,370.15,129.12,2673.49,705.05,1968.44,3297.56,2295.25,82.99,-3601.53,-1223.29,1478.54,96.42,3172.7599999999998,2802.6099999999997,14255.449273463999,13136.339273464,4.1403507587917145,1.0620458790566663,20.41526654221116,115.32116158473346,72.4232523216354,12.821064058686462,0.11953690303907381,0.01380772014433912,23.80470856668741,62.111241389826816,1.0258329120784628,0.20199300365620024,1.3296312286211753,0.15914430547583053,0.25651108829402774,0.22658522584870117,21.7054677819083,0.09846420028454246,9.975350562786895,5.282581306455402,99.48443658006917,5745.8,4.478165649574848,0.18556621849962407,12.1480364136763,Nestle India
2020-03-31,45.32,1756.68,158.25,474.53,1422.08,8.05,160.96,843.69,181.69,225.89,57.3,453180768.0,1.0,2389.92,809.8,3.56,21.81,37.47,261.71,563.26,107.4,90.83,326.1,18.9,337.86,48.74,289.12,181.28,545.79,-251.39,-399.17,-104.77,169.95,45.39,682.86,356.76,7701.8071521599995,7802.757152159999,11.426584002811703,3.264861230568387,6.369684952632738,84.02191672174487,26.68106841449917,2.022686539784886,0.07111116690098412,0.03747975847386136,12.024454725710507,14.133697026328809,0.1604439511653718,0.09998582104778998,0.18199719423542915,0.12097476066144473,0.28572504518979713,0.14927696324563164,18.876190476190477,0.08781908990011099,3.8546994072819643,1.6805805580558058,13.153833452584072,865.52,3.8315994510602507,0.2283716609760996,3.448909952606635,Emami
2020-03-31,26.71,1493.82,400.28,539.58,743.43,18.08,155.39,1543.49,823.05,374.18,18.24,133534265.0,2.0,2394.67,679.7,26.31,50.27,637.0,186.27,434.94,60.7,-14.98,52.53,31.91,272.68,45.19,227.5,26.71,59.69,-67.31,9.48,1.85,268.2,13.35,357.12,304.59000000000003,3581.3889873,3963.4289873,11.098311456373207,1.6551044558540424,17.04119850187266,138.60662921348313,15.73832967032967,1.9349723856780041,0.11199873051401654,0.06353914430228434,4.471161048689138,59.984419500753894,0.1496188828895188,0.062196195506564106,0.15857372670904465,0.09500265172236676,0.14913119553007304,0.1271949788488602,9.545283610153557,0.2632503140352377,0.8263032462574331,3.2211102592039604,2.9095073203329083,1340.66,3.5829280025656103,0.024926190247508005,0.14912061556910164,Radico Khaitan
2020-03-31,102.23,5025.39,325.75,1487.22,1365.27,36.7,3593.18,1945.44,305.52,657.72,85.68,1022316352.0,1.0,5474.45,2322.87,76.9,94.18,231.72,319.22,1034.66,100.99,91.26,81.37,57.97,1399.63,219.74,1179.89,817.84,919.98,-191.36,-744.55,-15.93,520.85,102.23,1538.9700000000003,1457.6000000000001,53247.34719392,53487.41719392,34.755334537983195,9.770372766930011,11.54152401447716,151.38768365450454,45.12835560942122,3.440504454699754,0.09514197773292295,0.02215901701925153,8.999119632201898,57.87788375834257,0.23010480495824576,0.14836139678931096,0.2672842664260815,0.21552667391244784,0.28111865118870394,0.26625505758569357,25.144040020700366,0.06352849860169045,4.0106588137183365,4.009792934730859,17.918466876145587,2571.8699999999994,3.9102809706257973,0.16804975842322062,2.8241903300076747,Godrej Consumer
2020-03-31,92.16,10757.85,180.51,1019.91,6452.54,28.15,3049.42,2520.32,314.17,919.95,737.77,921551715.0,1.0,5690.24,2967.31,-44.36,,545.82,283.44,805.73,239.56,65.94,114.82,25.73,729.41,205.87,523.54,248.83,745.03,-708.24,-197.98,-161.19,294.85,92.16,869.96,755.14,27171.952316775,26614.692316775,30.593006939140878,4.677253036212005,5.680772569444445,208.89014322916665,51.9031516216526,1.4115074815977773,0.051816795073670006,0.019266652770712038,8.084092881944445,36.47286149551025,0.048252490089870884,0.0374112934171873,0.06845914789148652,0.09200666404228995,0.15288634574288607,0.13270793499043979,29.34862028760202,0.016636851025943755,4.218192397207138,0.8818604766495054,18.11197759174969,,,0.1309312085254752,4.127361365021328,Tata Consumer
2020-03-31,176.71,4397.52,150.65,1375.23,1134.28,105.83,2466.83,2393.17,379.63,809.14,525.6,1767063892.0,1.0,6309.8,2531.18,69.89,66.48,854.86,579.63,846.21,118.8,175.14,129.93,19.27,1408.47,238.12,1170.35,530.13,1154.77,-330.28,-826.0,-1.51,450.05,176.71,1557.67,1427.74,79526.71045946,79151.76045945998,50.814203560099365,12.544258210951217,6.622998132533529,201.59551864636978,67.9526086213526,2.232440497794291,0.07132555706995468,0.014716138501352135,6.53483107916926,68.86941598759927,0.25585726996674846,0.15182295213818242,0.30217487004960975,0.18548131478018318,0.24686519382547784,0.22627341595613173,74.09133367929424,0.032934504823762686,9.167078625235405,5.562823994075537,16.620920369833787,3382.63,4.1805250018538205,0.1830121398459539,7.665250580816462,Dabur India
2020-03-31,26.44,3491.53,252.17,1773.62,1900.75,199.12,25.68,3418.21,1349.77,1092.29,73.31,264405149.0,1.0,6504.55,1297.12,9.55,172.95,2076.68,499.77,1363.55,229.63,9.11,284.97,31.12,567.42,140.19,427.23,66.1,506.62,-401.73,-94.88,10.01,918.85,26.44,883.51,598.54,24294.867115865,24473.727115864996,27.700566055692633,3.7625549985571634,16.158472012102873,158.49484114977307,56.86490649064907,5.7973495751304185,0.14126265460331613,0.017585538457966884,19.161119515885023,47.95387864671746,0.12144219535698143,0.054354892678253594,0.15875803020577484,0.06568171510711733,0.13582953471031817,0.09201866385837605,19.233290488431876,0.07168054304044662,3.118747573158248,3.4220965408391426,4.819006201056476,3537.2,3.238334142031878,0.07788701754925398,2.009041519609787,United Breweries
2020-03-31,129.0,2759.0,110.0,1138.0,701.0,55.0,1093.0,2287.0,465.0,1165.0,80.0,1291018088.0,1.0,5853.0,2635.0,-138.0,33.0,697.0,308.0,859.0,63.0,287.0,113.0,33.0,1261.0,254.0,1007.0,870.75,970.0,128.0,-1081.0,17.0,274.85,129.1,1407.0,1294.0,35483.63214868001,35513.63214868001,25.24067672258707,6.067594763143688,7.8001549186677,150.3710302091402,35.23647964250248,1.827812176439378,0.04695882453442679,0.02837967952944406,7.513555383423703,36.58055154639175,0.34868421052631576,0.1738905197720601,0.43162108072048033,0.17204852212540578,0.24038954382368016,0.22108320519391764,39.21212121212121,0.038088642659279776,9.839160839160838,8.349500713266762,12.587096774193549,3503.0,3.0068669527896996,0.1657269776183154,8.818181818181818,Marico
2020-03-31,216.0,7815.0,,11571.0,5056.0,513.0,1500.0,12533.0,1046.0,2636.0,5017.0,2164704405.0,1.0,38785.0,15378.0,121.0,263.0,2860.0,1691.0,7523.0,1591.0,536.0,938.0,106.0,9092.0,2354.0,6738.0,5400.0,7305.0,1926.0,-6676.0,2555.0,2298.5,216.48,10136.0,9198.0,497557.30748925,,,,31.125277161862527,252.10033259423503,73.84673196794301,9.117401696171191,0.05926260152120665,0.013541560653409845,33.74445676274945,68.1148911704312,0.8389988793425476,0.24247876781344466,,0.1737269562975377,0.2613381461905376,0.2371535387392033,86.77358490566037,,,7.671083860759493,37.0793499043977,18380.0,6.972685887708649,0.1883460100554338,,Hind. Unilever
2020-03-31,27.2,1566.96,101.5,908.31,1122.86,190.03,18.62,1272.46,132.56,296.92,421.27,271985634.0,1.0,4525.08,1594.44,21.56,45.35,220.48,333.76,1034.09,116.84,49.24,197.94,9.62,1043.36,226.89,816.47,761.6,929.58,-18.66,-891.1,19.82,1252.7,27.2,1250.9199999999998,1052.9799999999998,34071.64037118,33751.870371180004,26.981637811514734,7.4588450085258176,30.017279411764708,84.80882352941177,41.73262949036707,14.770868735911218,0.2768348846871216,0.023962065468000882,34.17573529411765,36.65466124486327,0.5121631454810056,0.2500911265694446,0.6209853390420248,0.18043216915502047,0.27644152147586337,0.23269864842168533,109.45738045738044,0.0636698951171777,11.257379409647227,4.029959211299717,34.13608931804466,1838.71,6.192610804257039,0.20542841231536238,9.158423645320198,Colgate-Palmoliv
2020-03-31,145.3,3664.4,2269.5,2475.3,1334.7,118.7,252.6,6848.5,2283.5,1836.1,34.5,726638715.0,2.0,9090.9,3419.2,-107.4,21.2,1681.5,518.4,1841.3,-4.2,46.8,227.5,190.7,1134.7,430.0,704.7,,667.0,26.5,-717.3,-23.8,484.6,72.66,1552.9,1325.4,35212.9121289,37447.9121289,24.11482524882478,4.119274453453454,9.698596201486376,195.73214973850813,49.96599404001702,2.4758324099919715,0.053306053306053314,0.020013611641531936,9.179741260666116,52.79015892053973,0.184975194897236,0.055973439026521264,0.2180221081721279,0.07751707751707752,0.17081917081917083,0.14579414579414582,6.950183534347143,0.5957161981258366,0.6312088448093651,6.811193526635199,3.981125465294504,5229.299999999999,2.848047491966668,0.07337007337007337,0.2938973342145847,United Spirits
2020-03-31,1229.22,62799.94,332.01,10874.19,20517.55,2780.2,30630.61,21307.0,2092.0,8038.07,6843.27,12292231241.0,1.0,45619.7,17411.47,176.34,744.55,1805.34,2658.21,4031.93,1159.49,2825.47,1563.27,80.44,19166.81,4030.76,15136.05,12476.58,13806.18,-5516.71,-7890.87,398.6,171.7,1229.22,20810.52,19247.25,211057.61040797,204546.35040797002,9.828987954552314,4.483728529735401,12.313540293844877,1280.3092598558435,13.943999524314467,0.13410822321111115,0.0037637248820136917,0.07171543560771623,11.23165910089325,15.287144887289603,0.23639307465536014,0.16925309045773995,0.2990506542997897,0.3317875829959425,0.4561739774702596,0.42190654476026807,239.27461461959226,0.005185293700557683,50.45586131652322,2.2234477313324446,21.80673996175908,19785.02,2.461414244961788,0.3026363610457763,41.58362699918678,ITC
2020-03-31,24.05,4250.6,1202.73,1775.96,1460.53,38.92,3141.17,2612.72,242.23,633.53,39.16,240468296.0,1.0,10986.68,6596.22,-61.51,134.93,662.66,368.87,1039.13,352.67,354.43,151.69,65.17,1908.26,423.96,1484.3,841.75,1659.68,-1568.34,-94.25,-2.91,2688.95,24.05,2125.12,1973.43,64660.722452919996,65824.29245292,30.97438848296567,5.991281483844072,61.71725571725571,200.79012474012475,43.56885232095938,13.3918438642349,0.24474636559907084,0.022952176766862797,69.00956340956341,38.96488931601272,0.34723310680406577,0.18258554815028036,0.3602872176113397,0.13509995740296432,0.19342694972457555,0.17962023104340893,30.28126438545343,0.2813633864760857,1.676094329205773,7.522392556126886,45.35639681294638,7455.320000000001,11.767903650971542,0.1510629234673259,1.3799273319863976,Britannia Inds
2020-06-30,32.46,1125.4,,670.54,206.5,22.15,,1599.75,166.34,205.05,902.5,32460736.0,10.0,3001.99,1114.57,7.82,11.58,310.55,174.16,687.81,104.86,41.54,47.88,6.07,593.87,160.79,433.08,340.83,473.75,74.72,-190.33,358.14,10151.65,3.25,647.82,599.94,32953.003061439995,,,,133.2553846153846,378.73692307692306,76.18191211785351,26.80396175140853,3.381640178681475,0.01312647546116982,145.76923076923077,69.64192612137202,0.3740348574093586,,,0.144264304677897,0.21579685475301386,0.19984743453509177,98.83690280065899,,,14.537481840193703,18.047312732956595,1428.8799999999999,6.968446720312118,0.15781198471680452,,P & G Hygiene
2020-12-31,96.42,1922.92,147.49,5732.9,2179.41,638.58,1463.77,3617.97,164.93,1416.48,1769.87,96415716.0,10.0,13350.03,4901.74,69.33,313.68,1040.36,1500.95,2246.9,214.23,145.85,370.38,164.18,2812.79,730.36,2082.43,1928.4,2454.48,-321.46,-1955.89,177.13,1839.03,96.42,3347.35,2976.97,17731.139419548002,16108.759419548005,4.812391718687321,1.2066459340951297,21.59749014727235,116.36316531839867,85.15017196256296,15.804228038726471,0.13775474661854692,0.011743957492413038,25.45612943372744,72.24311161630978,1.0312428813374666,0.19622555814266854,1.3738825842359577,0.15598691538520884,0.2507372642608294,0.22299350638163357,18.132354732610548,0.07303871561995504,10.740045561010042,6.125524797995789,80.9436124416419,6186.45,4.367481362250085,0.1838557666162548,16.641670621737067,Nestle India
2020-12-31,288.69,3723.08,3051.54,1233.26,5263.41,39.01,1352.17,1641.98,170.53,679.06,36.48,288688720.0,10.0,4876.45,2218.81,3.14,203.07,185.89,695.42,686.8,29.61,5.46,412.82,249.95,202.68,-23.75,226.43,72.17,719.67,-227.97,-487.65,4.05,203.57,129.92,865.45,452.63,5876.83627304,8891.896273040002,10.27430385699925,1.8234363672425642,1.742841748768473,317.3467118226601,116.80349070352867,0.6414750568260468,0.04174553209814517,0.008561387968602806,5.539331896551724,36.74991926855364,0.05644142111835923,0.024763687944503444,0.06408185397497775,0.04643336853653785,0.17747541756810797,0.09281957161459668,1.8108821764352871,0.7606467968004148,0.2621392159297772,0.9264811215542775,28.595848237846713,2604.63,3.835640444143375,0.14758071958084262,0.23583829803967832,Varun Beverages
